ที่,name,ประเภทร้านอาหาร 1,ประเภทร้านอาหาร 2,ประเภทร้านอาหาร 3,สินค้า บริการ,เปิด-ปิด,phone,โทรศัพท์ 2,โทรศัพท์ 3,website,FB,latitude,longtitude,UTM_X,UTM_Y,subDistrict,district
41,จ๋อยลาบเป็ด,ร้านอาหารอีสาน,,,อาหาร,ทุกวัน 07:00 - 16:00 น. หยุดวันอาทิตย์,0 4281 1618,,,https://www.wongnai.com/restaurants/144220Yh-%E0%B8%88%E0%B9%8B%E0%B8%AD%E0%B8%A2%E0%B8%A5%E0%B8%B2%E0%B8%9A%E0%B9%80%E0%B8%9B%E0%B9%87%E0%B8%94,,17.493663,101.726551,789542.5239,1936239.853,กุดป่อง,เมืองเลย
42,ขาหมูลำใย ณ เลย,ร้านอาหารจานเดียว,ร้านก๋วยเตี๋ยว,,อาหาร ก๋วยเตี๋ยว,ทุกวัน 07:30 - 17:00 น. หยุดวันอาทิตย์,08 9 549 8069,,,https://www.wongnai.com/restaurants/263634wR-%E0%B8%82%E0%B8%B2%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B8%A5%E0%B8%B3%E0%B9%84%E0%B8%A2-%E0%B8%93-%E0%B9%80%E0%B8%A5%E0%B8%A2,https://web.facebook.com/pages/category/Fast-Food-Restaurant/%E0%B8%82%E0%B8%B2%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B8%A5%E0%B8%B3%E0%B9%84%E0%B8%A2-%E0%B8%93-%E0%B9%80%E0%B8%A5%E0%B8%A2-116965793015628/?_rdc=1&_rdr,17.489632,101.727911,789693.43,1935795.554,กุดป่อง,เมืองเลย
43,BAAN KUA,ร้านอาหารจานเดียว,ร้านก๋วยเตี๋ยว,ร้านกาแฟ ชา,อาหาร ก๋วยเตี๋ยว เครื่องดื่ม,ทุกวัน 10:00 - 19:00 น.,08 5464 7669,,,https://www.wongnai.com/restaurants/540569jK-baan-kua-%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%B1%E0%B9%88%E0%B8%A7,https://web.facebook.com/baankualoei/?_rdc=1&_rdr,17.494144,101.724427,789316.0663,1936289.886,กุดป่อง,เมืองเลย
44,ก๋วยเตี๋ยวเอ็นแก้ว ฮูแปว2,ร้านอาหารจานเดียว,ร้านก๋วยเตี๋ยว,,อาหาร ก๋วยเตี๋ยว,ทุกวัน 09:00 - 19:00 น.,08 1708 4698,,,https://www.wongnai.com/restaurants/366823tD-%E0%B8%81%E0%B9%8B%E0%B8%A7%E0%B8%A2%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%A7%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%99%E0%B9%81%E0%B8%81%E0%B9%89%E0%B8%A7-%E0%B8%AE%E0%B8%B9%E0%B9%81%E0%B8%9B%E0%B8%A72-%E0%B8%8A%E0%B8%A5%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5,https://web.facebook.com/pages/category/Restaurant/%E0%B8%81%E0%B9%8B%E0%B8%A7%E0%B8%A2%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%A7%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%99%E0%B9%81%E0%B8%81%E0%B9%89%E0%B8%A7-%E0%B8%AE%E0%B8%B9%E0%B9%81%E0%B8%9B%E0%B8%A7-331592473951738/?_rdc=1&_rdr,17.49743,101.72243,789098.6646,1936650.722,เมือง,เมืองเลย
45,แพไผ่งาม...ห้วยกระทิง,ร้านอาหารริมน้ำ,,,อาหาร,ทุกวัน 09:00 - 17:00 น.,08 9276 3075,,,https://www.wongnai.com/restaurants/131963ht-%E0%B9%81%E0%B8%9E%E0%B9%84%E0%B8%9C%E0%B9%88%E0%B8%87%E0%B8%B2%E0%B8%A1-%E0%B8%AB%E0%B9%89%E0%B8%A7%E0%B8%A2%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B8%97%E0%B8%B4%E0%B8%87,https://web.facebook.com/paepaingam/?_rdc=1&_rdr,17.500816,101.601612,776256.2649,1936846.18,กกทอง,เมืองเลย
46,ร้านอาหารดีเลย,ร้านกาแฟ/ชา,,,อาหาร เครื่องดื่ม,ทุกวัน 10:00 - 20:00 น.,09 9245 2556,,,https://www.wongnai.com/restaurants/236623IB-%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B8%94%E0%B8%B5%E0%B9%80%E0%B8%A5%E0%B8%A2,https://web.facebook.com/DLoeiCafe/?_rdc=1&_rdr,17.495173,101.71611,788430.6843,1936391.208,กุดป่อง,เมืองเลย
47,ผู้หญิงขายน้ำมะพร้าว,ร้านกาแฟ/ชา,,,เครื่องดื่ม,ทุกวัน 08:30 - 17:00 น.,09 5609 3869,,,https://www.wongnai.com/restaurants/coconutgirl,https://web.facebook.com/Pooyingkhainammaphrao/?_rdc=1&_rdr,17.480709,101.728834,789805.6604,1934808.88,กุดป่อง,เมืองเลย
48,กาแฟภูเลย,ร้านกาแฟ/ชา,,,เครื่องดื่ม,ทุกวัน 08:30 - 21:00 น. (เปิดให้บริการเครื่องดื่ม) ทุกวัน 09:30 - 21:00 น. (เปิดให้บริการอาหาร),09 3486 8585,,,https://www.wongnai.com/restaurants/171605tc-%E0%B8%81%E0%B8%B2%E0%B9%81%E0%B8%9F%E0%B8%A0%E0%B8%B9%E0%B9%80%E0%B8%A5%E0%B8%A2-%E0%B8%96%E0%B8%99%E0%B8%99%E0%B8%A3%E0%B9%88%E0%B8%A7%E0%B8%A1%E0%B9%83%E0%B8%88,https://web.facebook.com/PhuloeiBisto/?_rdc=1&_rdr,17.490185,101.728338,789737.9269,1935857.439,กุดป่อง,เมืองเลย
49,บ้านฉันเบเกอรี่,ร้านกาแฟ/ชา,เบเกอรี/เค้ก,,เครื่องดื่ม เบเกอรี่ ไอศกรีม,ทุกวัน 07:30 - 17:00 น.,0 4281 2197,08 1380 0630,,https://www.wongnai.com/restaurants/15022dr-%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%89%E0%B8%B1%E0%B8%99%E0%B9%80%E0%B8%9A%E0%B9%80%E0%B8%81%E0%B8%AD%E0%B8%A3%E0%B8%B5%E0%B9%88,https://web.facebook.com/baanchan?_rdc=1&_rdr,17.494682,101.716809,788505.7344,1936337.897,กุดป่อง,เมืองเลย
50,เจ๊เจี๊ยบ เมืองเลย,ร้านอาหารตามสั่ง,,,อาหารตามสั่ง ก๋วยเตี๋ยว,ทุกวัน 08:00 - 21:00 น.,09 9007 8789,06 1487 6777,,https://www.wongnai.com/restaurants/439855Kh-เจ๊เจี๊ยบ-เมืองเลย,https://web.facebook.com/pages/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B9%80%E0%B8%88%E0%B9%8A%E0%B9%80%E0%B8%88%E0%B8%B5%E0%B9%8A%E0%B8%A2%E0%B8%9A%E0%B9%80%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%A5%E0%B8%A2/1081608282000199?_rdc=1&_rdr,17.479122,101.727997,789719.2297,1934631.872,กุดป่อง,เมืองเลย
51,ร้านก๋วยเตี๋ยวลมทุ่ง,ร้านก๋วยเตี๋ยว,,,ก๋วยเตี๋ยว,ทุกวัน 07:30 - 15:30 น. หยุดวันจันทร์,08 9781 0671,,,https://www.wongnai.com/restaurants/162311TR-%E0%B8%81%E0%B9%8B%E0%B8%A7%E0%B8%A2%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%A7%E0%B8%A5%E0%B8%A1%E0%B8%97%E0%B8%B8%E0%B9%88%E0%B8%87,https://web.facebook.com/%E0%B8%81%E0%B9%8B%E0%B8%A7%E0%B8%A2%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%A7%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%95%E0%B8%81%E0%B8%A5%E0%B8%A1%E0%B8%97%E0%B8%B8%E0%B9%88%E0%B8%87-853126598194829/,17.554094,101.727594,789557.3582,1942933.215,เมือง,เมืองเลย
52,ร้านรสหนึ่ง,ร้านอาหารจานเดียว,,,อาหารเช้า ขนมปัง ไข่กระทะ,ทุกวัน 06:30 - 13:30 น.,09 3514 3000,,,https://www.wongnai.com/restaurants/394517mP-%E0%B8%A3%E0%B8%AA%E0%B8%AB%E0%B8%99%E0%B8%B6%E0%B9%88%E0%B8%87,-,17.488865,101.730629,789983.4686,1935714.759,กุดป่อง,เมืองเลย
53,Parking Kaffe,ร้านอาหารตามสั่ง,ร้านกาแฟ/ชา,,อาหาร เครื่องดื่ม,ทุกวัน 09:00 - 18:00 น.,0 4281 1247,,,https://www.wongnai.com/restaurants/152255YW-parking-kaffe-เลย,https://web.facebook.com/parkingkaffe/?_rdc=1&_rdr,17.489923,101.726816,789576.6116,1935826.111,กุดป่อง,เมืองเลย
54,อิ่มเอม,ร้านอาหารจานเดียว,ร้านอาหารตามสั่ง,,อาหารตามสั่ง,ทุกวัน 11:00 - 22:00 น.,09 8667 4530,,,https://www.wongnai.com/restaurants/466717wj-%E0%B8%AD%E0%B8%B4%E0%B9%88%E0%B8%A1%E0%B9%80%E0%B8%AD%E0%B8%A1-%E0%B9%80%E0%B8%A5%E0%B8%A2,https://web.facebook.com/immloei/?_rdc=1&_rdr,17.489826,101.72665,789559.1258,1935815.118,กุดป่อง,เมืองเลย
55,สเต็กไทเลย,ร้านอาหารตามสั่ง,,,อาหารตามสั่ง อาหารฝรั่ง,ทุกวัน 06:00 - 21:00 น.,08 0193 2878,,,https://www.wongnai.com/restaurants/172464iu-%E0%B8%AA%E0%B9%80%E0%B8%95%E0%B9%87%E0%B8%81%E0%B9%84%E0%B8%97%E0%B9%80%E0%B8%A5%E0%B8%A2,https://www.facebook.com/สเต็กไทเลย-511458479052407/?ref=nf,17.487679,101.731369,790063.986,1935584.555,กุดป่อง,เมืองเลย
56,วิไลวรรณ,ร้านก๋วยเตี๋ยว,ร้านอาหารจานเดียว,,อาหาร ก๋วยเตี๋ยว,ทุกวัน 07:00 - 15:00 น.,0 4281 1407,,,https://www.wongnai.com/restaurants/93641uS-%E0%B8%A7%E0%B8%B4%E0%B9%84%E0%B8%A5%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%93,https://www.facebook.com/%E0%B8%A7%E0%B8%B4%E0%B9%84%E0%B8%A5%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%93%E0%B8%81%E0%B9%8B%E0%B8%A7%E0%B8%A2%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%A7%E0%B9%80%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%A5%E0%B8%A2-1289620551050500/,17.488034,101.729775,789894.0386,1935621.438,กุดป่อง,เมืองเลย
57,ชาบูบ้านนักบอล,ร้านอาหารจานเดียว,,,อาหารตามสั่ง ชาบู สุกี้ หม้อไฟ,ทุกวัน 15:00 - 22:00 น.,08 6219 3907,,,https://www.wongnai.com/restaurants/473443VT-%E0%B8%8A%E0%B8%B2%E0%B8%9A%E0%B8%B9%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B8%9A%E0%B8%AD%E0%B8%A5-%E0%B9%80%E0%B8%A5%E0%B8%A2,https://web.facebook.com/bannukball/?_rdc=1&_rdr,17.48765,101.731306,790057.3374,1935581.248,กุดป่อง,เมืองเลย
58,Plearn Coffee,ร้านกาแฟ/ชา,เบเกอรี/เค้ก,,อาหาร เครื่องดื่ม เบเกอรี่,ทุกวัน 07:00 - 20:00 น.,09 2695 8897,,,https://www.wongnai.com/restaurants/211223zh-plearn-coffee,https://web.facebook.com/PlearnCoffeeLoei/?_rdc=1&_rdr,17.493869,101.71565,788383.8645,1936246.115,กุดป่อง,เมืองเลย
59,บ้านท่าแพ,ร้านกาแฟ/ชา,,,อาหาร เครื่องดื่ม,ทุกวัน 07:00 - 23:00 น.,09 5 604 5544,,,https://www.wongnai.com/restaurants/267292tL-%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%97%E0%B9%88%E0%B8%B2%E0%B9%81%E0%B8%9E,https://web.facebook.com/BanThaPaeRestaurant?_rdc=1&_rdr,17.493121,101.706361,787398.0053,1936149.237,กุดป่อง,เมืองเลย
60,สวนอาหาร ท่าลี่แกรนด์วิว,ร้านอาหารไทย,,,"อาหาร, เครื่องดื่ม",ทุกวัน 10.00 - 23:00 น.,09 8108 5456,,,https://www.travel2guide.com/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%20%E0%B8%97%E0%B9%88%E0%B8%B2%E0%B8%A5%E0%B8%B5%E0%B9%88%E0%B9%81%E0%B8%81%E0%B8%A3%E0%B8%99%E0%B8%94%E0%B9%8C%E0%B8%A7%E0%B8%B4%E0%B8%A7.html,https://www.facebook.com/grandview99/,17.64229295,101.4090519,755599.6896,1952240.173,ท่าลี่,ท่าลี่ 
61,ก๋วยเตี๋ยวตาเเต๊ก,ร้านก๋วยเตี๋ยว,,,ก๋วยเตี๋ยว ส้มตำลูกค้าตำเอง ไข่มุกลาวา,ทุกวัน 09:00–16:00 น.,08 3026 7986,,,,https://www.facebook.com/%E0%B8%81%E0%B9%8B%E0%B8%A7%E0%B8%A2%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%A7%E0%B8%95%E0%B8%B2%E0%B9%80%E0%B9%80%E0%B8%95%E0%B9%8A%E0%B8%81-100378652190259/,17.63151863,101.4160155,756354.136,1951056.756,ท่าลี่,ท่าลี่
62,ร้านเจ้จุ๋ม-ชมวิว,ร้านก๋วยเตี๋ยว,,,ก๋วยเตี๋ยว,ทุกวัน 09:00 – 18.00 น.,09 7112 4332,,,,,17.70135905,101.5249191,767812.0147,1958940.618,น้ำแคม,ท่าลี่
63,กีกี้ เนื้อย่างเกาหลี สาขาท่าลี่,ปิ้งย่างเกาหลี,,,บุฟเฟต์ปิ้งย่างทะเลซีฟู๊ด,ทุกวัน 10:00 – 22:00 น.,09 2394 8178,,,,https://www.facebook.com/%E0%B8%81%E0%B8%B5%E0%B8%81%E0%B8%B5%E0%B9%89%E0%B9%80%E0%B8%99%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%A2%E0%B9%88%E0%B8%B2%E0%B8%87%E0%B9%80%E0%B8%81%E0%B8%B2%E0%B8%AB%E0%B8%A5%E0%B8%B5-%E0%B8%9A%E0%B8%B8%E0%B8%9F%E0%B9%80%E0%B8%9F%E0%B9%88%E0%B8%81%E0%B8%B4%E0%B9%82%E0%B8%A5-%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%97%E0%B9%88%E0%B8%B2%E0%B8%A5%E0%B8%B5%E0%B9%88-111508773983650/,17.2825694,101.7588227,793308.3687,1912913.709,หนองผือ,ท่าลี่
64,ร้านอาหารแก่งโตน,ร้านอาหาร,,,อาหารตามสั่ง,ทุกวัน 08:00 – 17:00 น.,08 3335 7865,,,,,17.70014111,101.4065498,755252.3793,1958641.308,หนองผือ,ท่าลี่
65,ส้มตำยายเป่า,ร้านส้มตำ,,,ส้มตำ แคปหมู หมี่ ขนมจีน น้ำผักสะทอน,ทุกวัน 07:00 – 17:00 น.,06 1294 4788,,,https://th.worldorgs.com/%E0%B9%81%E0%B8%84%E0%B8%95%E0%B8%95%E0%B8%B2%E0%B8%A5%E0%B9%87%E0%B8%AD%E0%B8%81/%E0%B8%AD%E0%B8%B3%E0%B9%80%E0%B8%A0%E0%B8%AD-%E0%B8%97%E0%B9%88%E0%B8%B2%E0%B8%A5%E0%B8%B5%E0%B9%88/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B9%89%E0%B8%B2/%E0%B8%AA%E0%B9%89%E0%B8%A1%E0%B8%95%E0%B8%B3%E0%B8%A2%E0%B8%B2%E0%B8%A2%E0%B9%80%E0%B8%9B%E0%B9%88%E0%B8%B2,,17.64522987,101.4335478,758195.7886,1952598.656,หนองผือ,ท่าลี่
66,น้องโอ ร้านอาหาร,ร้านอาหาร,,,อาหารตามสั่ง,ทุกวัน 10:00 - 19:00 น.,0 4288 9065,08 1708 5250,,https://www.yellowpages.co.th/profile/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99-%E0%B8%99%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B9%82%E0%B8%AD-%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3-349vzabjh,,17.63292041,101.4269107,757508.7566,1951226.767,ท่าลี่,ท่าลี่
67,สเต็กสวนป่า & พิซซ่าตีนภู บ้านไร่ภูคำฟาร์มสเตย์,ร้านอาหาร,ฟาร์มสเตย์,,สเต็ก พิซซ่า ที่พักฟาร์มสเตย์,ทุกวัน 11:00 – 14:00 น.,08 1717 9545,,,,https://www.facebook.com/kAipachara/,17.5930105,101.4109501,755870.7192,1946786.567,ท่าลี่,ท่าลี่
68,เตี๋ยวต้มยำ อร่อยจังก๋อ,ร้านก๋วยเตี๋ยว,,,ก๋วยเตี๋ยว,ทุกวัน 09.00 - 15.00 น.,09 3459 8505 ,,,https://www.wongnai.com/restaurants/277522GB-%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%A7%E0%B8%95%E0%B9%89%E0%B8%A1%E0%B8%A2%E0%B8%B3-%E0%B8%AD%E0%B8%A3%E0%B9%88%E0%B8%AD%E0%B8%A2%E0%B8%88%E0%B8%B1%E0%B8%87%E0%B8%81%E0%B9%8B%E0%B8%AD,,17.64406915,101.4326484,758101.9718,1952468.918,หนองผือ,ท่าลี่
69,กาแฟพอดี เบเกอรี่พอใจ,ร้านอาหารเวียดนาม,เบเกอรี่,ที่พัก,กาแฟ เบเกอรี่ อาหารเวียดนาม บริการล้างรถ,ทุกวัน 08.30 - 22.00 น.,09 0985 7022,,,https://www.gotoloei.com/%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%94%E0%B8%B7%E0%B9%88%E0%B8%A1/%E0%B8%81%E0%B8%B2%E0%B9%81%E0%B8%9F%E0%B8%9E%E0%B8%AD%E0%B8%94%E0%B8%B5-%E0%B9%80%E0%B8%9A%E0%B9%80%E0%B8%81%E0%B8%AD%E0%B8%A3%E0%B8%B5%E0%B9%88%E0%B8%9E%E0%B8%AD%E0%B9%83%E0%B8%88,https://www.facebook.com/%E0%B8%81%E0%B8%B2%E0%B9%81%E0%B8%9F%E0%B8%9E%E0%B8%AD%E0%B8%94%E0%B8%B5-%E0%B9%80%E0%B8%9A%E0%B9%80%E0%B8%81%E0%B8%AD%E0%B8%A3%E0%B8%B5%E0%B8%9E%E0%B8%AD%E0%B9%83%E0%B8%88-195586884108245/,17.69912474,101.4142331,756069.1582,1958539.217,หนองผือ,ท่าลี่
70,โกปี คอฟฟี่ (KoPi Coffee),ร้านเครื่องดื่ม,,,กาแฟ เบเกอรี่,ทุกวัน 08:15 - 15:30 น.,08 6646 3881,,,https://www.wongnai.com/restaurants/212768hg-kopi-coffee,https://www.facebook.com/KoPi-Coffee-177775982555429/,17.62665869,101.4232893,757133.2064,1950528.579,หนองผือ,ท่าลี่
71,ครัวอิ่มท้อง,ร้านอาหารจานเดียว,,,ข้าวมันไก่ อาหารตามสั่ง,ทุกวัน 07:30 - 13:30 น.,09 5578 6901 ,06 2198 8185,,https://www.wongnai.com/restaurants/287684Gz-%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B8%AD%E0%B8%B4%E0%B9%88%E0%B8%A1%E0%B8%97%E0%B9%89%E0%B8%AD%E0%B8%87-%E0%B8%95%E0%B8%A3%E0%B8%87%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A1%E0%B8%9B%E0%B8%B1%E0%B9%8A%E0%B8%A1-%E0%B8%9B%E0%B8%95%E0%B8%97-%E0%B8%97%E0%B9%88%E0%B8%B2%E0%B8%A5%E0%B8%B5%E0%B9%88, https://www.facebook.com/ครัวอิ่มท้อง-704781169617033/,17.62701129,101.4233102,757134.9248,1950567.645,หนองผือ,ท่าลี่
72,ร้านอาหารบ้านพัฒนา ,ร้านอาหาร,,,"อาหาร, เครื่องดื่ม",ทุกวัน 09:30 - 21:00 น.,06 1076 4259 ,,,https://www.wongnai.com/restaurants/93403Ds-%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B8%B2?_st=cD0zO2I9OTM0MDM7YWQ9ZmFsc2U7dD0xNjM3MDM4MTcyMjUyO3JpPTFYN2FLd2RYZHg5MXVHU3doVk43Rk1Xb1FMYlVpaztpPTFYNnpvR1A4OElrSXVwMEtXNWhSNDBoTUg4S2lHRDt3cmVmPXNyOw%3D%3D,,17.62251257,101.4452401,759469.482,1950099.541,ท่าลี่,ท่าลี่
73,Hen Om Coffee (กาแฟเห็นอ้ม),ร้านกาแฟ,ร้านอาหารตามสั่ง,,อาหารตามสั่ง เครื่องดื่ม กาแฟขี้ชะมด ชาดอกกาแฟ ถั่วคั่วกาแฟ กาแฟเห็นอ้ม กาแฟดริปธรรมดา,ทุกวัน 09:00 - 17:00 น.,09 0992 8825,08 1721 3668 ,,https://www.wongnai.com/restaurants/385677id-hen-om-coffee?_st=cD03O2I9Mzg1Njc3O2FkPWZhbHNlO3Q9MTYzNzAyNjc2NzEzNztyaT0xWDdhS3dHUU5RWUU0dE4wNnJkaWpKeW5VdVpVa3Q7aT0xWDZ6b0cyMHJoN1dRU01xQXpaYzlVVXFNaVoyU2g7d3JlZj1zcjs%3D,https://www.facebook.com/henomcoffee/,17.68476838,101.3909908,753622.9132,1956918.337,อาฮี,ท่าลี่
74,ร้านกะเทยเฒ่า,ร้านก๋วยจั๊บ,ร้านเครื่องดื่ม,,ก๋วยจั๊บ เครื่องดื่ม,ทุกวัน 09:00 – 21:00 น.,08 3343 2928,,,,https://www.facebook.com/aew2928/,17.67515502,101.5548367,771026.3516,1956082.054,น้ำแคม,ท่าลี่
75,ครัวริมทาง,ร้านอาหาร,,,อาหารตามสั่ง ก๋วยเตี๋ยวหมู ผัดไทย ส้มตำ,ทุกวัน 09:00 - 18:00 น.,08 6857 3117 ,,,https://www.wongnai.com/restaurants/93416Sm-%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B8%A3%E0%B8%B4%E0%B8%A1%E0%B8%97%E0%B8%B2%E0%B8%87,,17.63934975,101.4297532,757801.3584,1951942.46,หนองผือ,ท่าลี่
76,Le bar tarry (เลอ บาร์ ทาร์รี่),ร้านอาหาร,,,อาหารตามสั่ง ส้มตำ ขนมจีนน้ำเงี้ยว ผลิตภัณฑ์ชุมชน บริการห้องพัก บริการรถรับ-ส่งจากสนามบิน,ทุกวัน 10:30 - 19:00 น.,0 4288 9442,09 9625 8780,09 5754 6268,https://www.wongnai.com/restaurants/180336Tv-%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3-le-bar-tarry-%E0%B9%80%E0%B8%A5%E0%B8%AD-%E0%B8%9A%E0%B8%B2%E0%B8%A3%E0%B9%8C-%E0%B8%97%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%A3%E0%B8%B5%E0%B9%88?_st=cD0zO2I9MTgwMzM2O2FkPWZhbHNlO3Q9MTYzNzAyNjc2NzEzNDtyaT0xWDdhS3dHUUxnUmdrbUl6eTZ3ZUVrWlZqbXZpcE07aT0xWDZ6b0cyMHJoN1dRU01xQXpaYzlVVXFNaVoyU2g7d3JlZj1zcjs%3D,,17.64314396,101.4316133,757993.4139,1952365.073,หนองผือ,ท่าลี่
77,ถังปั่นป๊อก @ เชียงคาน,ร้านเครื่องดื่ม,,,เครื่องดื่ม โค้กวุ้น เบียร์วุ้น,ทุกวัน 16:00 - 21:00 น.,08 4442 7235,,,,https://www.facebook.com/%E0%B9%82%E0%B8%9A%E0%B8%A7%E0%B9%8C%E0%B8%96%E0%B8%B1%E0%B8%87%E0%B8%9B%E0%B8%B1%E0%B9%88%E0%B8%99%E0%B8%9B%E0%B9%8A%E0%B8%AD%E0%B8%81-313575396246361/,17.89650606,101.6582745,781658.1301,1980744.292,เชียงคาน,เชียงคาน
78,ก๋วยเตี๋ยวซอย 9,ร้านก๋วยเตี๋ยว,,,ก๋วยเตี๋ยว,ทุกวัน 09:00 - 17:00 น., ,,,,https://www.wongnai.com/restaurants/156563fE-%E0%B8%81%E0%B9%8B%E0%B8%A7%E0%B8%A2%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%A7%E0%B8%8B%E0%B8%AD%E0%B8%A2-9?_st=cD0xNztiPTE1NjU2MzthZD1mYWxzZTt0PTE2MDM3NzEzNzY0MzY7cmk9MVg3YTNQNUxENG9Wem91cXNxRkVUUjJ6M3hHSzZ1O2k9MVg2eldpcXZvc1diU2pvV05hcEJkSWg3dVpMM0d2O3dyZWY9c3I7,17.893808,101.654435,781255.3384,1980439.727,เชียงคาน,เชียงคาน
79,ป้าลี่ข้าวปุ้นน้ำแจ่ว,ร้านก๋วยเตี๋ยว,,,ก๋วยเตี๋ยว อาหารเช้า,ทุกวัน 09:00 - 21:00 น.,0 4282 1404,,,,https://www.wongnai.com/restaurants/143114jO-%E0%B8%9B%E0%B9%89%E0%B8%B2%E0%B8%A5%E0%B8%B5%E0%B9%88%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9B%E0%B8%B8%E0%B9%89%E0%B8%99%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B9%81%E0%B8%88%E0%B9%88%E0%B8%A7-%E0%B8%AA%E0%B8%B9%E0%B8%95%E0%B8%A3%E0%B9%82%E0%B8%9A%E0%B8%A3%E0%B8%B2%E0%B8%93,17.894979,101.6570061,781526.0772,1980573.28,เชียงคาน,เชียงคาน
